trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,quantity,point_value,net_pnl,fees,stop_loss,take_profit,risk_amount,r_multiple,mfe_r,mae_r,strategy,notes
DEMO-001,NQ,long,2026-05-04T13:35:00Z,2026-05-04T14:02:00Z,20120,20126,1,20,118,2,20115,20130,100,1.18,1.42,0.48,opening pullback,等待回踩后入场
DEMO-002,NQ,long,2026-05-04T14:18:00Z,2026-05-04T14:31:00Z,20131,20126,1,20,-102,2,20126,20141,100,-1.02,0.36,1.04,breakout,突破后缺少延续
DEMO-003,BTCUSDT,short,2026-05-05T08:10:00Z,2026-05-05T08:42:00Z,94700,94940,0.5,1,-122,2,94900,94300,100,-1.22,0.25,1.3,range edge,区间上沿尝试
DEMO-004,NQ,long,2026-05-05T13:41:00Z,2026-05-05T14:18:00Z,20230,20239,1,20,178,2,20225,20242,100,1.78,2.05,0.4,opening pullback,趋势日回踩
DEMO-005,ES,long,2026-05-06T14:03:00Z,2026-05-06T14:31:00Z,5280,5281.5,1,50,73,2,5278,5284,100,0.73,1.1,0.35,vwap reclaim,VWAP收复
DEMO-006,NQ,long,2026-05-06T14:48:00Z,2026-05-06T15:01:00Z,20284,20279.5,1,20,-92,2,20279,20294,100,-0.92,0.45,0.96,breakout,高位追随失败
DEMO-007,BTCUSDT,long,2026-05-07T09:00:00Z,2026-05-07T09:26:00Z,95600,95384,0.5,1,-110,2,95400,96000,100,-1.1,0.2,1.18,trend pullback,回踩没有企稳
DEMO-008,NQ,long,2026-05-07T13:35:00Z,2026-05-07T13:52:00Z,20310,20303,1,20,-142,2,20305,20320,100,-1.42,0.18,1.55,opening drive,止损成交偏差待核对
DEMO-009,NQ,long,2026-05-08T14:12:00Z,2026-05-08T14:45:00Z,20342,20347,1,20,98,2,20337,20352,100,0.98,1.55,0.42,trend pullback,结构回踩
DEMO-010,BTCUSDT,long,2026-05-09T08:35:00Z,2026-05-09T10:04:00Z,96200,96624,0.5,1,210,2,96000,96800,100,2.1,2.35,0.3,trend continuation,突破后回踩确认
DEMO-011,NQ,short,2026-05-11T13:50:00Z,2026-05-11T14:04:00Z,20430,20434,1,20,-82,2,20435,20420,100,-0.82,0.4,0.88,failed breakout,反转确认不足
DEMO-012,NQ,short,2026-05-11T14:12:00Z,2026-05-11T14:39:00Z,20432,20424,1,20,158,2,20437,20422,100,1.58,1.9,0.25,failed breakout,二次确认后执行
DEMO-013,ES,long,2026-05-12T14:02:00Z,2026-05-12T14:22:00Z,5302,5300.1,1,50,-97,2,5300,5305,100,-0.97,0.32,1.02,range rotation,区间中部入场
DEMO-014,BTCUSDT,long,2026-05-13T07:50:00Z,2026-05-13T09:02:00Z,97100,96984,0.5,1,-60,2,96900,97500,100,-0.6,1.42,0.55,trend continuation,达到1R后未执行保护
DEMO-015,NQ,long,2026-05-13T13:38:00Z,2026-05-13T14:05:00Z,20510,20516.5,1,20,128,2,20505,20520,100,1.28,1.66,0.37,opening pullback,低点抬高后进入
DEMO-016,NQ,long,2026-05-14T14:20:00Z,2026-05-14T14:39:00Z,20572,20567,1,20,-102,2,20567,20582,100,-1.02,0.5,1.05,breakout,突破回落
DEMO-017,BTCUSDT,short,2026-05-15T08:10:00Z,2026-05-15T08:46:00Z,97800,98006,0.5,1,-105,2,98000,97400,100,-1.05,0.28,1.1,range edge,上沿拒绝不充分
DEMO-018,ES,short,2026-05-15T14:00:00Z,2026-05-15T14:32:00Z,5310,5308.2,1,50,88,2,5312,5306,100,0.88,1.24,0.3,vwap reject,VWAP压制
DEMO-019,NQ,long,2026-05-18T13:42:00Z,2026-05-18T14:18:00Z,20620,20630,1,20,198,2,20615,20632,100,1.98,2.2,0.31,opening pullback,开盘趋势回踩
DEMO-020,NQ,long,2026-05-19T14:11:00Z,2026-05-19T14:28:00Z,20668,20662,1,20,-122,2,20663,20678,100,-1.22,0.24,1.31,breakout,入场位置偏高
DEMO-021,BTCUSDT,long,2026-05-20T07:44:00Z,2026-05-20T08:33:00Z,98500,98674,0.5,1,85,2,98300,98900,100,0.85,1.28,0.42,trend pullback,只保留部分趋势利润
DEMO-022,NQ,long,2026-05-20T13:35:00Z,2026-05-20T14:06:00Z,20710,20706.5,1,20,-72,2,20705,20720,100,-0.72,1.26,0.74,opening drive,达到1R后回吐
DEMO-023,NQ,short,2026-05-21T14:10:00Z,2026-05-21T14:42:00Z,20694,20686.7,1,20,144,2,20699,20684,100,1.44,1.72,0.28,failed breakout,假突破确认
DEMO-024,ES,long,2026-05-22T14:04:00Z,2026-05-22T14:21:00Z,5330,5328.2,1,50,-92,2,5328,5334,100,-0.92,0.4,0.96,range rotation,区间内接力失败
